"commodity","locations","season","exported_to"
"soyabean","Madhya Pradesh, Maharashtra, Rajasthan","Kharif","Iran, Bangladesh, Vietnam, Thailand, Nepal"
"sunflower","Karnataka, Andhra Pradesh, Maharashtra, Punjab","Both","Nepal, Bangladesh, UAE"
"betel_leaves","West Bengal, Odisha, Tamil Nadu, Andhra Pradesh","Perennial","UK, USA, Singapore, UAE"
"coffee","Karnataka, Kerala, Tamil Nadu","Perennial","Italy, Germany, Russia, Belgium, USA"
"honey","Punjab, Haryana, West Bengal, Bihar, Uttar Pradesh","Perennial","USA, Saudi Arabia, UAE, Bangladesh"
"sugarcane","Uttar Pradesh, Maharashtra, Karnataka, Tamil Nadu, Bihar","Perennial","Sri Lanka, Nepal, Bangladesh, Indonesia"
"tea","Assam, West Bengal, Tamil Nadu, Kerala","Perennial","Russia, Iran, UK, USA, UAE"
"arhar","Maharashtra, Karnataka, Uttar Pradesh, Madhya Pradesh","Kharif","Sri Lanka, Bangladesh, Nepal"
"gram","Madhya Pradesh, Maharashtra, Rajasthan, Uttar Pradesh","Rabi","Bangladesh, Nepal, Pakistan"
"masur","Uttar Pradesh, Madhya Pradesh, Bihar, West Bengal","Rabi","Bangladesh, Nepal"
"moong","Rajasthan, Maharashtra, Karnataka, Andhra Pradesh","Kharif","Bangladesh, Nepal, Sri Lanka"
"peas_chawali","Uttar Pradesh, Madhya Pradesh, Bihar, West Bengal","Rabi","Nepal, Bangladesh"
"rajma","Jammu & Kashmir, Uttarakhand, Himachal Pradesh","Kharif","USA, UK, UAE"
"urad","Maharashtra, Andhra Pradesh, Madhya Pradesh, Tamil Nadu","Kharif","Nepal, Bangladesh, Sri Lanka"
"cotton_yarn","Tamil Nadu, Gujarat, Maharashtra, Punjab","Perennial","China, Bangladesh, Vietnam, Sri Lanka"
"woollen_yarn","Rajasthan, Punjab, Uttar Pradesh, Himachal Pradesh","Perennial","USA, UK, Germany"
"beans","Karnataka, Maharashtra, Himachal Pradesh","Rabi","UAE, UK, Bangladesh"
"bittergourd","Uttar Pradesh, Maharashtra, West Bengal","Kharif","UAE, UK, Malaysia"
"bottlegourd","Uttar Pradesh, Bihar, West Bengal","Kharif","UAE, Nepal, Bangladesh"
"brinjal","West Bengal, Odisha, Bihar, Maharashtra","Both","Nepal, Bangladesh, UAE"
"cabbage","West Bengal, Bihar, Odisha, Karnataka","Rabi","Nepal, Bangladesh, UAE"
"carrot","Punjab, Haryana, Karnataka, Uttar Pradesh","Rabi","UAE, Qatar, Nepal"
"cauliflower","West Bengal, Bihar, Uttar Pradesh","Rabi","Nepal, Bangladesh"
"cucumber","Uttar Pradesh, Punjab, Haryana","Kharif","UAE, Oman"
"drumstick","Tamil Nadu, Andhra Pradesh, Karnataka","Perennial","USA, UK, Malaysia, Singapore"
"gingerfresh","Kerala, Karnataka, Assam, Meghalaya","Kharif","USA, UK, Germany"
"ladyfinger","Uttar Pradesh, West Bengal, Bihar","Kharif","UAE, UK, Saudi Arabia"
"onion","Maharashtra, Karnataka, Madhya Pradesh, Gujarat","Rabi","Bangladesh, Malaysia, Sri Lanka, UAE"
"peasgreen","Uttar Pradesh, Bihar, Madhya Pradesh","Rabi","Nepal, UAE, Bangladesh"
"pointedgourd","West Bengal, Bihar, Assam","Kharif","Nepal, Bangladesh"
"potato","Uttar Pradesh, West Bengal, Bihar, Punjab","Rabi","Nepal, Sri Lanka, Bangladesh, UAE"
"pumpkin","West Bengal, Odisha, Bihar, Uttar Pradesh","Kharif","Nepal, Bangladesh"
"radish","Punjab, Haryana, Uttar Pradesh, West Bengal","Rabi","UAE, Qatar"
"sweetpotato","Odisha, Uttar Pradesh, West Bengal","Kharif","Nepal, Bangladesh"
"tapioca","Kerala, Tamil Nadu, Andhra Pradesh","Perennial","USA, UK, Malaysia"
"tomato","Andhra Pradesh, Karnataka, Maharashtra, Odisha","Both","UAE, Sri Lanka, Nepal, Bangladesh"
